PUSKESMAS

PONCOL 
MIROTO 
BANDARHARJO 
BULU LOR 
HALMAHERA 
BUGANGAN 
KARANGDORO 
PANDANARAN 
LAMPER TENGAH 
KARANGAYU 
LEBDOSARI 
MANYARAN 
KROBOKAN 
NGEMPLAK SIMONGAN 
GAYAMSARI 
CANDI LAMA 
KAGOK 
PEGANDAN 
GENUK 
BANGETAYU 
TLOGOSARI WETAN 
TLOGOSARI KULON 
KEDUNGMUNDU 
ROWOSARI 
NGESREP 
PADANGSARI 
SRONDOL 
PUDAK PAYUNG 
GUNUNG PATI 
SEKARAN 
MIJEN 
KARANG MALANG 
TAMBAKAJI 
PURWOYOSO 
NGALIYAN 
MANGKANG 
KARANGANYAR 
